Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Lib,4000,4,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,40,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,400,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
Lib,4000,4000,10,1
