Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Original,4,4000,25,0.5005
Original,4,4000,26,0.514
Original,4,4000,27,0.56425
Original,4,4000,28,0.5545
Original,4,4000,29,0.578
Original,4,4000,30,0.5555
Original,4,4000,31,0.541
Original,4,4000,32,0.747
Original,4,4000,33,0.7415
Original,4,4000,34,0.516
Original,4,4000,35,0.74025
Original,4,4000,36,0.47775
Original,4,4000,37,0.509
Original,4,4000,38,0.88
Original,4,4000,39,0.56075
Original,4,4000,40,0.451
Original,4,4000,41,0.52875
Original,4,4000,42,0.74025
Original,4,4000,43,0.474
Original,4,4000,44,0.54825
Original,4,4000,45,0.531
Original,4,4000,46,0.7385
Original,4,4000,47,0.51075
Original,4,4000,48,0.4795
Original,4,4000,49,0.50475
Original,4,4000,50,0.53875
Original,4,4000,51,0.498
Original,4,4000,52,0.53825
Original,4,4000,53,0.48875
Original,4,4000,54,0.561
Original,4,4000,55,0.4815
Original,4,4000,56,0.499
Original,4,4000,57,0.54725
Original,4,4000,58,0.87225
Original,4,4000,59,0.54975
Original,4,4000,60,0.559
Original,4,4000,61,0.57625
Original,4,4000,62,0.48725
Original,4,4000,63,0.7385
Original,4,4000,64,0.83525
Original,4,4000,65,0.50675
Original,4,4000,66,0.5755
Original,4,4000,67,0.8815
Original,4,4000,68,0.51375
Original,4,4000,69,0.48425
Original,4,4000,70,0.50125
Original,4,4000,71,0.529
Original,4,4000,72,0.5475
Original,4,4000,73,0.54075
Original,4,4000,74,0.54275
Original,4,4000,75,0.487
Original,4,4000,76,0.491
Original,4,4000,77,0.546
Original,4,4000,78,0.529
Original,4,4000,79,0.54725
Original,4,4000,80,0.54175
Original,4,4000,81,0.5235
Original,4,4000,82,0.4975
Original,4,4000,83,0.547
Original,4,4000,84,0.48775
Original,4,4000,85,0.53325
Original,4,4000,86,0.4805
Original,4,4000,87,0.4815
Original,4,4000,88,0.5165
Original,4,4000,89,0.44625
Original,4,4000,90,0.584
Original,4,4000,91,0.87125
Original,4,4000,92,0.83275
Original,4,4000,93,0.73275
Original,4,4000,94,0.43575
Original,4,4000,95,0.5185
Original,4,4000,96,0.51125
Original,4,4000,97,0.57325
Original,4,4000,98,0.50375
Original,4,4000,99,0.4305
Original,4,4000,100,0.5915
Original,40,4,1,1
Original,40,4,2,1
Original,40,4,3,1
Original,40,4,4,1
Original,40,4,5,1
Original,40,4,6,1
Original,40,4,7,1
Original,40,4,8,1
Original,40,4,9,1
Original,40,4,10,1
Original,40,4,11,1
Original,40,4,12,1
Original,40,4,13,1
Original,40,4,14,0.75
Original,40,4,15,0.75
Original,40,4,16,1
Original,40,4,17,0.75
Original,40,4,18,0.75
Original,40,4,19,1
Original,40,4,20,1
Original,40,4,21,1
Original,40,4,22,1
Original,40,4,23,1
Original,40,4,24,1
Original,40,4,25,1
Original,40,4,26,1
Original,40,4,27,1
Original,40,4,28,1
Original,40,4,29,1
Original,40,4,30,1
Original,40,4,31,1
Original,40,4,32,1
Original,40,4,33,1
Original,40,4,34,1
Original,40,4,35,1
Original,40,4,36,1
Original,40,4,37,1
Original,40,4,38,1
Original,40,4,39,1
Original,40,4,40,1
Original,40,4,41,1
Original,40,4,42,1
Original,40,4,43,1
Original,40,4,44,1
Original,40,4,45,1
Original,40,4,46,0.75
Original,40,4,47,0.75
Original,40,4,48,0.75
Original,40,4,49,1
Original,40,4,50,1
Original,40,4,51,1
Original,40,4,52,1
Original,40,4,53,1
Original,40,4,54,1
Original,40,4,55,0.5
Original,40,4,56,0.5
Original,40,4,57,0.5
Original,40,4,58,1
Original,40,4,59,1
Original,40,4,60,1
Original,40,4,61,1
Original,40,4,62,1
Original,40,4,63,1
Original,40,4,64,1
Original,40,4,65,1
Original,40,4,66,1
Original,40,4,67,1
Original,40,4,68,1
Original,40,4,69,1
Original,40,4,70,1
Original,40,4,71,0.75
Original,40,4,72,0.75
Original,40,4,73,1
Original,40,4,74,1
Original,40,4,75,1
Original,40,4,76,1
Original,40,4,77,1
Original,40,4,78,1
Original,40,4,79,1
Original,40,4,80,1
Original,40,4,81,1
Original,40,4,82,1
Original,40,4,83,1
Original,40,4,84,1
Original,40,4,85,1
Original,40,4,86,1
Original,40,4,87,1
